Fishing_ISO3,Fishing_ME,Fishing_quantile,unequal_12,unequal_hs_12,unequal_123,unequal_hs_123,unequal_fish,unequal_fish_hs,prop_12,prop_12_hs,prop_123,prop_123_hs
ARG,69,5,42767.37245,42767.37245,42767.37245,42767.37245,42767.37245,42767.37245,1,1,1,1
ASM,78,5,2904.480919,2904.480919,2904.480919,2904.480919,2904.480919,2904.480919,1,1,1,1
AUS,73,5,19249.34062,19249.34062,19249.34062,19249.34062,19249.34062,19249.34062,1,1,1,1
BHR,68,5,0,0,0,0,NA,NA,NA,NA,NA,NA
BLZ,70,5,38834.31295,38834.31295,38834.31295,38834.31295,38834.31295,38834.31295,1,1,1,1
BMU,73,5,146.4736007,146.4736007,146.4736007,146.4736007,146.4736007,146.4736007,1,1,1,1
CAN,68,5,43918.84706,43918.84706,43918.84706,43918.84706,53590.876051,43918.84706,0.8195209762610417,0.8195209762610417,0.8195209762610417,0.8195209762610417
CHL,69,5,40359.11323,40359.11323,40359.11323,40359.11323,40359.11323,40359.11323,1,1,1,1
CHN,72,5,1110566.0905744468,1110271.765,1110620.3113318868,1110271.765,3512964.0408963766,1110271.765,0.3161336346303938,0.316049851941183,0.316149069105899,0.316049851941183
COK,72,5,5044.810605,5044.810605,5044.810605,5044.810605,5044.810605,5044.810605,1,1,1,1
CUB,73,5,246338.94057799998,2474.747178,246338.94057799998,2474.747178,246338.94057799998,2474.747178,1,0.010046106280206251,1,0.010046106280206251
CYM,69,5,110.259556,110.259556,110.259556,110.259556,110.259556,110.259556,1,1,1,1
DNK,68.5,5,18181.207159999998,8273.071018,20834.2427195,8273.071018,187102.2093175,8273.071018,0.09717259473482592,0.04421685370887924,0.11135220046571269,0.04421685370887924
FLK,72,5,12587.55554,12587.55554,12587.55554,12587.55554,12587.55554,12587.55554,1,1,1,1
FRA,68.25,5,97174.620909884,93351.54846,107613.191230316,93351.54846,155850.879430926,93351.54846,0.623510250726255,0.5989799274849389,0.6904881873188966,0.5989799274849389
FRO,74,5,29362.3613353,29230.42938,29362.3613353,29230.42938,467829.471432,29230.42938,0.06276295771923783,0.06248094907430112,0.06276295771923783,0.06248094907430112
GBR,75.5,5,6612.862777337,6612.858498,7348.007504847,6612.858498,313394.997539847,6612.858498,0.021100728566977842,0.021100714912206598,0.023446473499988553,0.021100714912206598
GRL,71,5,8359.973258,8359.973258,8359.973258,8359.973258,26545.280988,8359.973258,0.31493255851310037,0.31493255851310037,0.31493255851310037,0.31493255851310037
GUM,75,5,1241.1654,1241.1654,1241.1654,1241.1654,1241.1654,1241.1654,1,1,1,1
IRN,69,5,359502.83236701,195885.4309,415139.02010701003,195885.4309,432997.81813801,195885.4309,0.8302647664899437,0.45239357496615645,0.9587554549170781,0.45239357496615645
ISL,68,5,20524.06699,20524.06699,20524.06699,20524.06699,21484.8058208,20524.06699,0.9552828711223499,0.9552828711223499,0.9552828711223499,0.9552828711223499
ISR,69,5,246.39735217,234.9706917,485.19379356999997,234.9706917,1335.21156189,234.9706917,0.18453806063604114,0.17598012060904983,0.36338345728762655,0.17598012060904983
KHM,68,5,9607.383304,9607.383304,9607.383304,9607.383304,9607.383304,9607.383304,1,1,1,1
KOR,72,5,658240.802984542,514514.0076,658491.267287842,514514.0076,933945.955694312,514514.0076,0.7047953888243931,0.550903405558945,0.7050635674077178,0.550903405558945
KWT,68,5,2065.237901,2065.237901,2065.237901,2065.237901,2065.237901,2065.237901,1,1,1,1
MNP,78,5,1075.8907,1075.8907,1075.8907,1075.8907,1075.8907,1075.8907,1,1,1,1
MTQ,71,5,124.9160418,124.9160418,124.9160418,124.9160418,3290.7244868000002,124.9160418,0.03796004262923638,0.03796004262923638,0.03796004262923638,0.03796004262923638
NAM,77,5,36655.60105,36655.60105,36655.60105,36655.60105,36655.60105,36655.60105,1,1,1,1
NOR,69,5,341882.26933499996,339998.4531,342254.94214389997,339998.4531,814273.6581652,339998.4531,0.4198616348530322,0.417548142065798,0.42031930999106837,0.417548142065798
NZL,71,5,35647.495752256,35644.85692,35647.495752256,35644.85692,35647.495752256,35644.85692,1,0.9999259742598936,1,0.9999259742598936
PER,68,5,115603.3048,115603.3048,115603.3048,115603.3048,115603.3048,115603.3048,1,1,1,1
SLV,70,5,46826.57834,46826.57834,46826.57834,46826.57834,46826.57834,46826.57834,1,1,1,1
THA,69,5,282810.541153812,102759.0975,1023238.689740072,102759.0975,1023240.668414367,102759.0975,0.27638711974970714,0.10042514989092198,0.9999980662669535,0.10042514989092198
TON,69,5,1202.414156,1202.414156,1202.414156,1202.414156,1202.414156,1202.414156,1,1,1,1
TZA,68,5,37183.7143,37183.7143,37183.7143,37183.7143,37183.7143,37183.7143,1,1,1,1
USA,69.75,5,261780.649,261780.649,261780.649,261780.649,367108.392187,261780.649,0.7130881629822631,0.7130881629822631,0.7130881629822631,0.7130881629822631
VIR,73,5,72.90551742,72.90551742,72.90551742,72.90551742,72.90551742,72.90551742,1,1,1,1
WSM,73,5,5704.236692,5704.236692,5704.236692,5704.236692,5704.236692,5704.236692,1,1,1,1
